date_iso,product,term_years,year,rate_percent,scraped_at,source_url,note
2025-12-12,taux_progressif,10,1,2.40,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_progressif,10,2,2.55,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_progressif,10,3,2.75,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_progressif,10,4,3.00,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_progressif,10,5,3.25,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_progressif,10,6,3.50,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_progressif,10,7,3.90,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_progressif,10,8,4.35,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_progressif,10,9,4.90,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_progressif,10,10,5.50,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_vert,5,,2.90,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,flexi_plus,,,1.85,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,obligation_epargne,,,2.75,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_fixe,1,,2.40,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_fixe,2,,2.50,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_fixe,3,,2.60,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_fixe,4,,2.75,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_fixe,5,,2.90,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_fixe,6,,3.05,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-12,taux_fixe,10,,3.75,2025-12-15T20:10:29+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_progressif,10,1,2.35,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_progressif,10,2,2.55,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_progressif,10,3,2.80,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_progressif,10,4,3.10,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_progressif,10,5,3.40,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_progressif,10,6,3.80,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_progressif,10,7,4.20,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_progressif,10,8,4.60,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_progressif,10,9,5.10,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_progressif,10,10,5.75,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_vert,5,,3.15,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,flexi_plus,,,1.80,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,obligation_epargne,,,2.75,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_fixe,1,,2.35,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_fixe,2,,2.60,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_fixe,3,,2.80,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_fixe,4,,2.95,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_fixe,5,,3.15,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_fixe,6,,3.35,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
2025-12-23,taux_fixe,10,,3.95,2026-01-01T14:26:33+00:00,https://epq.gouv.qc.ca/taux-en-vigueur/,
